variant,feature,selector_importance,selected
legacy_baseline,numeric__customer_merchant_previous_total_amount,0.00031931780486499654,False
legacy_baseline,numeric__customer_merchant_previous_avg_amount,0.0003074652709376421,False
legacy_baseline,numeric__customer_merchant_previous_min_amount,0.00030165356151405133,False
legacy_baseline,numeric__customer_merchant_steps_since_last_transaction,0.00027901992803936875,False
legacy_baseline,numeric__customer_transactions_last_1_steps,0.000271325441229007,False
legacy_baseline,numeric__customer_category_previous_std_amount,0.0002495008947949984,False
legacy_baseline,categorical__gender_F,0.00024706328666151424,False
legacy_baseline,categorical__category_es_hyper,0.00023178332086328378,False
legacy_baseline,categorical__gender_M,0.00021960761281918884,False
legacy_baseline,categorical__age_2,0.00020690330014490687,False
legacy_baseline,categorical__category_es_barsandrestaurants,0.00020018580572528775,False
legacy_baseline,categorical__age_3,0.0001995705181714001,False
legacy_baseline,categorical__category_es_tech,0.0001839019609294606,False
legacy_baseline,numeric__customer_merchant_previous_std_amount,0.00016729744676530954,False
legacy_baseline,categorical__age_4,0.00016242068286610785,False
legacy_baseline,categorical__age_1,0.00012704759902098815,False
legacy_baseline,categorical__age_5,0.000125119442523856,False
legacy_baseline,categorical__category_es_fashion,0.00012444990575872044,False
legacy_baseline,categorical__age_6,0.00012272369678088813,False
legacy_baseline,numeric__customer_merchant_previous_transaction_count,0.00012157122346040753,False
legacy_baseline,categorical__category_es_food,0.00011766451081981909,False
legacy_baseline,categorical__category_es_otherservices,0.00010163297979769123,False
legacy_baseline,categorical__category_es_home,8.340147812116451e-05,False
legacy_baseline,numeric__is_new_customer,6.93833449161819e-05,False
legacy_baseline,numeric__is_new_merchant,6.744440618216939e-05,False
legacy_baseline,numeric__is_new_category_for_customer,5.677223331667814e-05,False
legacy_baseline,categorical__category_es_contents,4.5403328513447726e-05,False
legacy_baseline,categorical__age_0,4.1388769910280173e-05,False
legacy_baseline,categorical__category_es_hotelservices,3.549687048050762e-05,False
legacy_baseline,numeric__is_new_merchant_for_customer,3.368122469009893e-05,False
legacy_baseline,categorical__category_es_leisure,3.2952429832328685e-05,False
legacy_baseline,categorical__gender_E,8.313415189151019e-06,False
legacy_baseline,categorical__age_U,6.256170382965889e-06,False
legacy_baseline,categorical__category_es_travel,3.816896764110884e-06,False
legacy_baseline,categorical__gender_U,9.497804703038812e-08,False
corrected_simulation_day,numeric__merchant_transactions_last_3_steps,0.06729485763582836,True
corrected_simulation_day,numeric__merchant_previous_max_amount,0.06623375211154632,True
corrected_simulation_day,numeric__merchant_transactions_last_6_steps,0.06487471651324846,True
corrected_simulation_day,numeric__category_previous_max_amount,0.06425081614123787,True
corrected_simulation_day,numeric__merchant_transactions_last_1_steps,0.06381236428758912,True
corrected_simulation_day,numeric__merchant_transactions_per_step,0.0607841593029737,True
corrected_simulation_day,numeric__category_previous_avg_amount,0.05627981662933107,True
corrected_simulation_day,numeric__merchant_previous_std_amount,0.04861295812452673,True
corrected_simulation_day,numeric__merchant_previous_avg_amount,0.04715221121987172,True
corrected_simulation_day,numeric__merchant_transactions_last_24_steps,0.03666703871384236,True
corrected_simulation_day,numeric__category_previous_std_amount,0.035586723269937455,True
corrected_simulation_day,numeric__category_transactions_last_1_steps,0.02902867319746466,True
corrected_simulation_day,numeric__category_transactions_per_step,0.026248165545733577,True
corrected_simulation_day,numeric__category_transactions_last_24_steps,0.02588587106189161,True
corrected_simulation_day,numeric__log_amount,0.021339693624968008,True
corrected_simulation_day,numeric__merchant_previous_transaction_count,0.020335871608080133,True
corrected_simulation_day,numeric__amount,0.020166478446103725,True
corrected_simulation_day,numeric__category_transactions_last_3_steps,0.01785142885792483,True
corrected_simulation_day,numeric__category_transactions_last_6_steps,0.014287551590113658,True
corrected_simulation_day,numeric__category_amount_per_step,0.0132404763211088,True
